Event Log
   24313 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24312 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24311 May 11 17:18  Information Microsoft-Windows...         5100 The Network Diagnostics Framework (NDF) has com...
   24310 May 11 17:18  Information Microsoft-Windows...         4100 The Network Diagnostics Framework has completed...
   24309 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24308 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24307 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24306 May 11 17:18  Information Microsoft-Windows...         4000 The Network Diagnostics Framework has completed...
   24305 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24304 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24303 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24302 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24301 May 11 17:18  Information Microsoft-Windows...         6100 Details about network adapter diagnosis: ...      
   24300 May 11 16:24  Information Microsoft-Windows...           16 The description for Event ID '16' in Source 'Mi...
   24299 May 11 15:40  Information Microsoft-Windows...           19 Installation Successful: Windows successfully i...
   24298 May 11 15:40  Information Microsoft-Windows...           43 Installation Started: Windows has started insta...
   24297 May 11 15:39  Information Microsoft-Windows...           44 Windows Update started downloading an update.     
   24296 May 11 15:35  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24295 May 11 15:33  Information Service Control M...   1073748864 The start type of the Background Intelligent Tr...
   24294 May 11 15:31  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24293 May 11 15:31  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24292 May 11 15:31  Warning     DCOM                        10016 The description for Event ID '10016' in Source ...
   24291 May 11 15:31  Information WinRM                      468900 The description for Event ID '468900' in Source...
   24290 May 11 15:30  Information Microsoft-Windows...         7001 User Logon Notification for Customer Experience...
   24289 May 11 15:29  Information Microsoft-Windows...         1025 The TPM was successfully provisioned and is now...
   24288 May 11 15:29  Information Microsoft-Windows...         1282 The TBS device identifier has been generated.     
   24287 May 11 15:29  Information TPM                            18 This event triggers the Trusted Platform Module...
   24286 May 11 15:29  Information Service Control M...   3221232498 The following boot-start or system-start driver...
   24285 May 11 15:29  Error       Microsoft-Windows...         1796 The Secure Boot update failed to update a Secur...
   24284 May 11 15:29  Information Microsoft-Windows...         4000 WLAN AutoConfig service has successfully starte...
   24283 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'bindflt' (10.0, 1991-09-24T...
   24282 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'storqosflt' (10.0, 2010-08-...
   24281 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'CldFlt' (10.0, 2053-02-14T0...
   24280 May 11 15:29  Information Microsoft-Windows...            1 File System Filter 'CldFlt' (Version 10.0, 2053...
   24279 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'CldFlt' (10.0, 2053-02-14T0...
   24278 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'luafv' (10.0, 2104-08-15T12...
   24277 May 11 15:29  Information Microsoft-Windows...            6 File System Filter 'wcifs' (10.0, 2047-08-27T13...
   24276 May 11 15:29  Information Microsoft-Windows...        51046 DHCPv6 client service is started                  
   24275 May 11 15:29  Information Microsoft-Windows...        50103 DHCPv4 client registered for shutdown notification
   24274 May 11 15:29  Information Microsoft-Windows...        50036 DHCPv4 client service is started                  
   24273 May 11 15:29  Information Microsoft-Windows...        16983 The security account manager is now logging per...
   24272 May 11 15:29  Information Microsoft-Windows...        16977 The domain is configured with the following min...
   24271 May 11 15:29  Information Microsoft-Windows...        16962 Remote calls to the SAM database are being rest...
   24270 May 11 15:29  Information Microsoft-Windows...           14 Credential Guard configuration: 0, 0              
   24269 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 15 exposes the follow...
   24268 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 14 exposes the follow...
   24267 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 13 exposes the follow...
   24266 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 12 exposes the follow...
   24265 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 11 exposes the follow...
   24264 May 11 15:29  Information Microsoft-Windows...           55 Hyper-V logical processor 10 exposes the follow...
